text,labels
how the fuk who the heck moved my fridge should i knock the landlord door,0
so my indian uber driver just called someone the n word if i wasnt in a moving vehicle id have jumped out,0
i asked for my parcel to be delivered to a pick up store not my address,0
so ef whichever butt wipe pulled the fire alarm in davis bc i was sound asleep,0
dont join they put the phone down on you talk over you and are rude taking money out of my acc willynilly,0
my blood is boiling,0
when youve still got a whole season of wentworth to watch and a stupid cunt in work ruins it for us,0
why does tracking show my equipment delivered when it wasnt why is my service suddenly delayed weve already 3 weeks,0
legit why i am so furious with him people are such fucking idiots,0
how is it suppose to work if you do that wtf dude thanks for pissing me off,0
im so mad about power rangers im incensed im furious,0
wont use using again these guys cant get nothing right,0
bitches aggravate like what inspires you to be the biggest cunt known to man kind,0
why does have to come to glasgow on a night i am working i am fucking gutted been waiting for an appearance for ages,0
fuking fuming,0
zero help from customer service just pushing the buck back and forth and promising callbacks that don’t happen,0
not to mention the gra guy stops me but lets the 2 ppl in front of me go wtf my blood is boiling,0
i hate my lawn mower if it had a soul id condemn it to the fiery pits of hell,0
why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,0
im about to block everyone everywhere posting about the storm i think everyone is aware of the damn rain and what not so quit,0
making my buddy cry bitch wait for revenge,0
bes you dont just tell a true blooded hoopjunkie to switch a fc team that juz destroyed your own team you juz dont,0
i got a no response again from an customer of nwhy cant they understand that its not always amazon faultn,0
tasers immobilize if you taser someone why the fuck do you need to shoot them one second later this is really sick,0
the way my blood is boiling little bastards,0
actually fuming i have nothing to wear saturday,0
than straight people even the arse straight guys who think that means a threesome is fine,0
bloody parking ticket,0
you ever just find that the people around you really irritate you sometimes thats me right now,0
i get so angry at people that dont know that you dont have a stop sign on francis and you do at foster,0
this fuck you is boiling up inside its not gonna be good when i let it out,0
wow my bill is £4477 and hav a text from u to prove that and you have taken £148,0
i blame the whole season on natalie the season would have been so different had she not turned her back on her alliance,0
since the update my loses power nearly 40 faster,0
im about to fly into a fit of rage its not fair,0
unbelievable takes 10 minutes to get through to then theres a fault and the call hangs up,0
we are blaming 5 of the fucking idiots who are putting the world in the middle of their tantrums you are one,0
you people infuriate me,0
mine is that the party did decide but the party has been slowly transformed into a vengeful hellcult of white male resentment,0
so about my order 6 ago i placed an order of over 500 card billed never n,0
still cant log into my fucking snapchat,0
sam yes we have not helpful at all we need this sorting asap you keep promising stuff that doesnt happen,0
someone let snakes in my house i bet it i kill that bugger when i get my hands on him,0
so ef whichever butt wipe pulled the fire alarm in davis bc i was sound asleep,0
why does have to come to glasgow on a night i am working i am fucking gutted been waiting for an appearance for ages,0
i feel furious,0
some mexican ladies irritate the fuck outta me have a their own lil preschool of fucking kids for the welfare amp allllat smh,0
still cant log into my fucking snapchat,0
i blame the whole season on natalie the season would have been so different had she not turned her back on her alliance,0
people irritate my mf soul,0
im so angry,0
people fuckin irritate me,0
you are a cruel cruel man,0
that way ur so angry you can literally feel ur blood boiling,0
this amount of greedy mooching makes me snarl,0
my mind is raging and i just want to end it all,0
absolutely fuming that some woman jumped into my prebooked taxi and drove off,0
im nothing but a hateful and bitter fag,0
something needs to be done about people hogging machines nobody can use 3 machines at one time,0
ikr people still got a grudge against him for no reason like wtf,0
then he said talking about wills uncontrollable animals when moving to another link these comments do not help,0
bad news if ordered online it hasnt gone through same happened to me had to re order on the phone,0
so angry i wanna cry,0
ooooooooh my god uuuugggghhhhhhhhh,0
boycotting till butter pecan comes back i am furious,0
in 2016 black people are still fighting to be recognized as human beings,0
my mom cut my phone off and im so furious,0
once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,0
cant believe achilles killed me,0
i lost a couple niggas i want revenge so put me in coach,0
then its poor packaging my amazon and the fulfilled seller should be furious as much as you,0
wheres your outrage when a black man kills another black man in the streets,0
it makes me so fucking irate jesus nobody is calling ppl who like hajime abusive stop with the strawmen lmao,0
absolutely fuming ive just scratched all my car,0
holy shit it just a bee sting like fuck youre not dying,0
how the fuk who the heck moved my fridge should i knock the landlord door,0
i dislike people who get offended by the littlest shit,0
what the fuck am i supposed to do with no lunch no dinner no money and im off to work,0
it does if one person ruins season 13 for me i will be so angry,0
what the fuck am i supposed to do with no lunch no dinner no money and im off to work,0
not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work reply,0
so my indian uber driver just called someone the n word if i wasnt in a moving vehicle id have jumped out,0
the liberal outrage over don king saying the nword really angers me the white yuppie progressives can go fuck themselves shame on blacks,0
just paid for chicken at and didnt even get any there goes 4 dollars and me as a customer,0
but that was a mistake and a half assed excuse and now here i am burning in hell forever,0
you have had from me over the years is irrelevant its an absolute joke,0
part 2was buzzing for a cheeky squashie or twothis was not what i expectedsort it out,0
tasers immobilize if you taser someone why the fuck do you need to shoot them one second later this is really sick,0
bes you dont just tell a true blooded hoopjunkie to switch a fc team that juz destroyed your own team you juz dont,0
fucked my coupon that goal,0
lvg bribed all the refs against utd for his own personal revenge that was a foul you prick,0
now that the whole clown rage has scared me shitless im gonna go cry in my room,0
worst juror ever michelle you were nicoles biggest threat,0
your twitter picture just makes me fume,0
you are a cruel cruel man,0
thats really it for my madden career that game sucks ea sports does a piss poor job every year on that shit,0
ha right im from san jose ca and i was offended right there with you dave go on a walk or something next time,0
something needs to be done about people hogging machines nobody can use 3 machines at one time,0
i wonder what american city will be next to protest about police shootings whos next smh,0
another angry white man,0
have wee pop socks on and they keep falling off inside my shoes,0
the majority of people irritate the fuck out of me cba with people ahahah,0
a multimillionaire spoiled brat who gets in a self righteous huff bc his friend is muslim is a non starter bye,0
wont use using again these guys cant get nothing right,0
dont provoke me to anger,0
you complain all the time and then wonder why people never want to see you you acc rile me up stfuuu,0
bloods boiling,0
leave it on there rulenimber 1 of carpet cleaning,0
wallah my blood is boiling i need to take a nap ugh,0
i swear if blocks me im going to hit her back,0
i am angry at the student for being a racist and the teacher for not stopping it and at the class for letting it go by,0
im about to block everyone everywhere posting about the storm i think everyone is aware of the damn rain and what not so quit,0
im just a fuming ball of anger today,0
i didnt find out about this till today due to my bff telling me i am so disgusted and offended by this,0
thanks for saying my wife and i were getting our iphones today and then losing both of them with no eta,0
a not turning up why am i not surprised late for work again,0
police officersshould not have the right to just shoot human beings without provocation its wrongnn,0
angry already,0
flat party and i instantly get bollocked about it,0
add tracking but resent them,0
this man is an affront to our justice system,0
someone let snakes in my house i bet it i kill that bugger when i get my hands on him,0
ummm the blog says with simon stehr faking 7thill expect an investigation forthwith this is an,0
black armed thug with a record carrying gun illegally gets shot by black cop this is a jokelet em destroy their town,0
wakes up and says have you tried changing her nappy,0
someone needs to tell candice shell be stuck with that shitty pout if the wind changes,0
turn that shit off home button under accessibility nnwhen did innovation become mind fuckery,0
i just love it when people make plans for me without actually including me in this process,0
smh remove ideologically bankrupt and opportunistic establishment now theyre burning all bridges and social contracts,0
wheres your outrage that your party nominated a lying corrupt person and received donations from nations who support terror,0
how can you even forget to pick ur fave child up from school,0
i get so angry at people that dont know that you dont have a stop sign on francis and you do at foster,0
they irritate me them and their inch thick made up masks,0
fucked my coupon that goal,0
how was natalie one of the top three favorites and,0
democrats and their voters have zero tolerance for honesty they associate honesty with anger and hate,0
the said many times to explain away the brutal killings of by amp,0
towhy cant we brothers protect one another no ones serious and it makes me furious dont be misled just think of fred,0
wakes up and says have you tried changing her nappy,0
you have had from me over the years is irrelevant its an absolute joke,0
all hell is breaking loose in charlotte,0
theres this bpharm4 guy eish that guy brings anger into my life when i see him nje like darkness fills me will know,0
i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the boiling sun again,0
testing,0
put so much artefact points into fury and cant raid literally wasted 1 month of my life thanks blizzard,0
how is it suppose to work if you do that wtf dude thanks for pissing me off,0
i was angry,0
that feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave,0
congratulations your free 1 month has been activated then charges £3480 the same month absolutely furious,0
hell hath no fury like a women scorned its the affair not the parenting,0
straight people are canoodling on the quad and im,0
i can definitely feel my irritation today lord give me strength,0
against chelsea anything is possible haha im fuming about that bet,0
when you break a record in i wish it didnt say the same shit after every rush like you just broke the record,0
apparently you are to contact me sofas were meant to be delivered today old ones gone sitting on floor no sofas,0
i have 1000 rabid grizzly bears im going to scatter in neighborhoods all over americanntheyre poor refugeesnn,0
why dont want when its black on black crime they only and cry when its a,0
ill be honest i hope that annoying southern bint with the look at me pout goes out this week selasi,0
zero help from customer service just pushing the buck back and forth and promising callbacks that don’t happen,0
hes stupid i hate him lol,0
what a joke cut our internet off early by mistake and then dont reinstate it when we no longer need an engineer,0
yeah i received a fine today which i am furious about currently appealing it after being a member for so long,0
people irritate me,0
men in rage strike those that wish them best,0
in 2016 black people are still fighting to be recognized as human beings,0
i swear if blocks me im going to hit her back,0
what a joke cut our internet off early by mistake and then dont reinstate it when we no longer need an engineer,0
47 unarmed blacks killed by white cops in 2015 that many die every month in chicago wheres the,0
why does tracking show my equipment delivered when it wasnt why is my service suddenly delayed weve already 3 weeks,0
does she really need to pout all the time getting on my nerves,0
